f1_micro,f1_macro,runtime,dataset,method,seed,overlap_ratio,num_clusters
0.7167167167167167,0.6951132893498034,1.3815252780914307,CiteSeer,GraphSAGE,15,,
0.7177177177177178,0.6921233346898,3.928858995437622,CiteSeer,GAT,15,,
0.701195219123506,0.6676096052861542,1.3744544982910156,CiteSeer,RandomPartition,15,1.0,12.0
0.7067067067067067,0.6737646313790996,2.041734218597412,CiteSeer,GCN,16,,
0.7117117117117117,0.6767670539220195,1.6028833389282227,CiteSeer,GraphSAGE,16,,
0.7207207207207207,0.6894389456509341,4.23111367225647,CiteSeer,GAT,16,,
0.6889332003988036,0.6650003107362207,1.4041426181793213,CiteSeer,RandomPartition,16,1.0,12.0
0.7387387387387387,0.6998140105362337,2.3845345973968506,CiteSeer,GCN,17,,
0.7207207207207207,0.6835000971228599,1.5725879669189453,CiteSeer,GraphSAGE,17,,
0.7407407407407407,0.7001582258596678,3.882943630218506,CiteSeer,GAT,17,,
0.7048853439680958,0.6706926227012646,1.4991843700408936,CiteSeer,RandomPartition,17,1.0,12.0
0.7267267267267268,0.6963978522361142,1.9302856922149658,CiteSeer,GCN,18,,
0.7267267267267268,0.699511166760054,2.376347303390503,CiteSeer,GraphSAGE,18,,
0.7277277277277278,0.6975934377809346,4.10257887840271,CiteSeer,GAT,18,,
0.6922310756972112,0.6603894213582776,1.5684051513671875,CiteSeer,RandomPartition,18,1.0,12.0
0.7157157157157157,0.6832129853753388,2.170786142349243,CiteSeer,GCN,19,,
0.7107107107107107,0.6655972776663622,1.357428789138794,CiteSeer,GraphSAGE,19,,
0.7207207207207207,0.6856810129658918,3.074655532836914,CiteSeer,GAT,19,,
0.7161354581673307,0.6857475720879519,1.2989490032196045,CiteSeer,RandomPartition,19,1.0,12.0
0.8661257606490872,0.8607369769061423,1.8000965118408203,PubMed,GCN,0,,
0.8837052062204191,0.8822359814905766,1.2917027473449707,PubMed,GraphSAGE,0,,
0.8593644354293442,0.8523915526440761,3.046435594558716,PubMed,GAT,0,,
0.8545116593443731,0.8521372223963614,1.242595911026001,PubMed,RandomPartition,0,1.0,6.0
0.8674780256930358,0.860631232697313,1.722100019454956,PubMed,GCN,1,,
0.8793103448275862,0.8764778193409537,1.1790318489074707,PubMed,GraphSAGE,1,,
0.8554766734279919,0.8473862275435277,2.993457555770874,PubMed,GAT,1,,
0.855863467387631,0.8506899571746711,1.2229597568511963,PubMed,RandomPartition,1,1.0,6.0
0.8669709263015551,0.8605498122392444,1.7019364833831787,PubMed,GCN,2,,
0.8808316430020284,0.8774285262803435,1.2260844707489014,PubMed,GraphSAGE,2,,
0.8571670047329276,0.8501078505733642,3.062265634536743,PubMed,GAT,2,,
0.8579151883764149,0.8563614207171387,1.0483484268188477,PubMed,RandomPartition,2,1.0,6.0
0.8725490196078431,0.8650223418517538,1.763333797454834,PubMed,GCN,3,,
0.8833671399594321,0.8790686716279752,1.2175400257110596,PubMed,GraphSAGE,3,,
0.8575050709939148,0.8489439545995102,3.0346274375915527,PubMed,GAT,3,,
0.8504562352145996,0.8467973506458807,1.0922987461090088,PubMed,RandomPartition,3,1.0,6.0
0.8612237998647735,0.8570845760284392,1.7600321769714355,PubMed,GCN,4,,
0.8884381338742393,0.8861340251787584,1.2118628025054932,PubMed,GraphSAGE,4,,
0.8571670047329276,0.8521867291465223,3.0303547382354736,PubMed,GAT,4,,
0.8523149712740791,0.8502886941951756,1.0747840404510498,PubMed,RandomPartition,4,1.0,6.0
0.8629141311697093,0.8560440165171928,1.7248551845550537,PubMed,GCN,5,,
0.8798174442190669,0.8756473559608019,1.2762150764465332,PubMed,GraphSAGE,5,,
0.8519269776876268,0.8438669821482825,3.126873254776001,PubMed,GAT,5,,
0.850118283203785,0.8472638331195084,1.0894110202789307,PubMed,RandomPartition,5,1.0,6.0
0.8598715348208249,0.8531720327161437,1.7528748512268066,PubMed,GCN,6,,
0.8818458417849898,0.8786626918220444,1.205965280532837,PubMed,GraphSAGE,6,,
0.8524340770791075,0.8448665508484318,3.011744976043701,PubMed,GAT,6,,
0.8551630894034139,0.8534852223677539,1.0751707553863525,PubMed,RandomPartition,6,1.0,6.0
